index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
110,116.0 to 116.8333333,7,"[0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,V7ofG,DF#AC,lime,18
111,117.0 to 117.0833333,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
112,118.0 to 118.0,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
113,119.0 to 119.0,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
114,120.0 to 120.0,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
115,122.0 to 122.0,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
116,123.0 to 123.0,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",eMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
117,125.0 to 125.0,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
118,126.0 to 126.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Gmaj3rd5th,BD-G,gold,17
119,127.0 to 127.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Gmaj3rd5th,BD-G,gold,17
120,128.0 to 128.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,Gmaj3rd5th,BD-G,gold,17
121,129.0 to 129.5,0,"[0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
122,130.0 to 130.5,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K570 i Bb major.mid by Mozart.csv,1789,V-IofC,D-GBC,crimson,11
