index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
78,85.0 to 85.5,14,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]",8,aMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofAmin,E-BCD,indigo,19
79,86.0 to 86.5,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",7,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,AminTriad,ACE,steelblue,14
80,87.0 to 87.625,9,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 3, 0, 0]",7,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,6-1ofC,A-CF,deepskyblue,7
81,88.0 to 88.75,7,"[2, 0, 1, 2, 0, 0, 2, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,V7ofG,DF#AC,lime,18
82,89.0 to 89.75,1,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",9,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj-IV/vii,F#G-ACE,salmon,16
83,90.0 to 90.625,9,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0]",7,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,6-1ofC,A-CF,deepskyblue,7
84,91.0 to 91.75,7,"[2, 0, 1, 2, 0, 0, 1, 0, 0, 1, 0, 0]",0,g#Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,V7ofG,DF#AC,lime,18
85,92.0 to 92.75,1,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",9,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj-IV/vii,F#G-ACE,salmon,16
86,93.0 to 93.875,11,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",9,b-Minor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
87,94.0 to 94.75,3,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]",4,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9
88,95.0 to 95.75,11,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0]",9,b-Minor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
89,96.0 to 96.75,0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]",6,b-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
90,97.0 to 97.625,3,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]",4,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9
91,98.0 to 98.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj3rd5th,BD-G,gold,17
92,99.0 to 99.875,11,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
