index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
87,98.0 to 98.875,5,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Gmaj3rd5th,BD-G,gold,17
88,99.0 to 99.5,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Gmaj3rd5th,BD-G,gold,17
89,100.0 to 100.875,7,"[2, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,V7ofG,DF#AC,lime,18
90,101.0 to 101.875,7,"[2, 0, 1, 0, 0, 0, 2, 0, 1, 3, 0, 1]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,V7ofG,DF#AC,lime,18
91,102.0 to 102.5,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,V7ofG,DF#AC,lime,18
92,103.0 to 103.5,7,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,V7ofG,DF#AC,lime,18
93,104.0 to 104.5,7,"[0, 0, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,V7ofG,DF#AC,lime,18
94,105.0 to 105.5,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,V7ofG,DF#AC,lime,18
95,106.0 to 106.875,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,V7ofG,DF#AC,lime,18
96,107.0 to 107.5,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
97,108.0 to 108.875,3,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Gmaj-root,G-BD,red,9
98,109.0 to 109.875,0,"[0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
99,110.0 to 110.875,7,"[1, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,V7ofG,DF#AC,lime,18
100,111.0 to 111.875,0,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
101,112.0 to 112.875,3,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Gmaj-root,G-BD,red,9
102,113.0 to 113.875,5,"[0, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Gmaj3rd5th,BD-G,gold,17
103,114.0 to 114.875,7,"[1, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,V7ofG,DF#AC,lime,18
104,115.0 to 115.875,0,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
105,116.0 to 116.75,13,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Cmaj5-1tet,BC-AG,darkviolet,12
106,117.0 to 117.375,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
107,118.0 to 118.75,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Gmaj3rd5th,BD-G,gold,17
108,119.0 to 119.5,16,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",bMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,chr,FGAB,mediumpurple,10
109,120.0 to 120.75,1,"[1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",e-Minor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Gmaj-IV/vii,F#G-ACE,salmon,16
110,121.0 to 121.5,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,chr,FGAB,mediumpurple,10
111,122.0 to 122.75,18,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,V-IofC,D-GBC,crimson,11
112,123.0 to 123.5,14,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",eMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofAmin,E-BCD,indigo,19
113,124.0 to 124.75,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Cmaj5-1tet,BC-AG,darkviolet,12
114,125.0 to 125.75,13,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Cmaj5-1tet,BC-AG,darkviolet,12
115,126.0 to 126.75,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Gmaj-root,G-BD,red,9
116,127.0 to 127.75,14,"[0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofAmin,E-BCD,indigo,19
117,128.0 to 128.75,7,"[0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,V7ofG,DF#AC,lime,18
118,129.0 to 129.5,0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
119,130.0 to 130.0,0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
120,132.0 to 132.5,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c#Major,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
121,133.0 to 133.5,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c#Major,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
122,134.0 to 134.5,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c#Major,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
123,135.0 to 135.5,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c#Major,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
124,136.0 to 136.5,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
125,137.0 to 137.5,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Gmaj3rd5th,BD-G,gold,17
126,138.0 to 138.5,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15
