index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
107,111.0 to 111.875,7,"[2, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
108,112.0 to 112.75,13,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 2]",4,gMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
109,113.0 to 113.875,18,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",8,dMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
110,114.0 to 114.875,3,"[0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
111,115.0 to 115.875,5,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
112,116.0 to 116.875,13,"[1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",8,eMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
113,117.0 to 117.875,11,"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",1,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
114,118.0 to 118.75,18,"[1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
115,119.0 to 119.875,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
116,120.0 to 120.75,3,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
117,121.0 to 121.75,7,"[1, 0, 1, 0, 1, 0, 2, 1, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
118,122.0 to 122.875,6,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 2]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13
119,123.0 to 123.875,10,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",8,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6
120,124.0 to 124.75,11,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",1,aMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
121,125.0 to 125.625,11,"[0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0]",1,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0
122,126.0 to 126.6666667,14,"[0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0]",1,aMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,VofAmin,E-BCD,indigo,19
123,127.0 to 127.5,16,"[0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1,aMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,chr,FGAB,mediumpurple,10
