index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
90,93.0 to 93.875,14,"[0, 0, 0, 1, 3, 0, 1, 0, 1, 1, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
91,94.0 to 94.875,13,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]",5,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Cmaj5-1tet,BC-AG,darkviolet,12
92,95.0 to 95.875,18,"[1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,V-IofC,D-GBC,crimson,11
93,96.0 to 96.875,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
94,97.0 to 97.875,12,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
95,98.0 to 98.75,9,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0, 0]",2,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,6-1ofC,A-CF,deepskyblue,7
96,99.0 to 99.75,14,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
97,100.0 to 100.875,5,"[0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 2]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Gmaj3rd5th,BD-G,gold,17
98,101.0 to 101.75,14,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 2]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
99,102.0 to 102.875,13,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",8,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Cmaj5-1tet,BC-AG,darkviolet,12
100,103.0 to 103.75,16,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
101,104.0 to 104.75,13,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",5,dMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Cmaj5-1tet,BC-AG,darkviolet,12
102,105.0 to 105.75,14,"[0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
103,106.0 to 106.75,14,"[0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
104,107.0 to 107.75,2,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",1,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,2/4ofCmaj,DF,green,4
105,108.0 to 108.875,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
106,109.0 to 109.875,9,"[2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]",2,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,6-1ofC,A-CF,deepskyblue,7
107,110.0 to 110.75,9,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0, 0]",2,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,6-1ofC,A-CF,deepskyblue,7
