index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
144,148.0 to 148.875,2,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",3,fMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
145,149.0 to 149.75,17,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",2,eMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
146,150.0 to 150.75,9,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
147,151.0 to 151.75,8,"[0, 0, 1, 0, 3, 0, 0, 0, 1, 0, 0, 1]",6,eMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
148,152.0 to 152.875,2,"[1, 0, 0, 0, 2, 1, 0, 0, 0, 2, 0, 0]",3,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
149,153.0 to 153.75,17,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",2,eMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
150,154.0 to 154.75,9,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
151,155.0 to 155.75,8,"[0, 0, 1, 0, 3, 0, 0, 0, 1, 0, 0, 1]",6,eMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
152,156.0 to 156.875,2,"[1, 0, 0, 0, 2, 1, 0, 0, 0, 2, 0, 0]",3,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
153,157.0 to 157.75,17,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",2,eMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
154,158.0 to 158.75,9,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
155,159.0 to 159.75,16,"[0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
156,160.0 to 160.875,10,"[0, 1, 0, 0, 2, 0, 0, 2, 0, 1, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
