index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
147,148.0 to 148.875,12,"[1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1]",1,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
148,149.0 to 149.875,6,"[1, 0, 2, 0, 1, 1, 0, 1, 0, 1, 0, 0]",5,fMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
149,150.0 to 150.875,8,"[1, 0, 0, 1, 2, 1, 0, 1, 0, 1, 0, 1]",5,gMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
150,151.0 to 151.875,8,"[1, 0, 1, 0, 2, 1, 0, 1, 0, 1, 0, 0]",5,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
151,152.0 to 152.875,0,"[2, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0]",4,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
152,153.0 to 153.875,2,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0]",6,fMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
153,154.0 to 154.875,1,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
154,155.0 to 155.875,8,"[1, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 1]",5,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
155,156.0 to 156.875,18,"[0, 1, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0]",6,fMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
156,157.0 to 157.875,15,"[1, 0, 2, 0, 2, 1, 0, 2, 0, 1, 0, 1]",5,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
157,158.0 to 158.875,0,"[3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
158,159.0 to 159.875,0,"[3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
