index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,0.0 to 0.625,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
1,1.0 to 1.75,13,"[3, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
2,2.0 to 2.5,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
3,3.0 to 3.75,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
4,4.0 to 4.5,2,"[2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",9,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
5,5.0 to 5.875,9,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",9,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
6,6.0 to 6.875,9,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
7,7.0 to 7.75,5,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
8,8.0 to 8.0,10,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
9,9.0 to 9.875,10,"[1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
10,10.0 to 10.5,1,"[1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
11,11.0 to 11.5,2,"[2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",9,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
12,12.0 to 12.875,6,"[1, 0, 2, 0, 1, 2, 0, 1, 1, 1, 0, 0]",4,fMinor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
13,13.0 to 13.875,8,"[1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
14,14.0 to 14.625,4,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",8,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
15,15.0 to 15.5,0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
16,16.0 to 16.5,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
17,17.0 to 17.75,13,"[2, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
18,18.0 to 18.5,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
19,19.0 to 19.875,15,"[2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
20,20.0 to 20.5,2,"[2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",9,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
21,21.0 to 21.75,9,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",9,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
22,22.0 to 22.75,9,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
23,23.0 to 23.75,5,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
24,24.0 to 24.0,10,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
