index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
76,76.0 to 76.91666667,5,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",8,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
77,77.0 to 77.66666667,7,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",5,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
78,78.0 to 78.91666667,3,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1]",1,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
79,79.0 to 79.91666667,5,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",8,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
80,80.0 to 80.75,7,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",5,fMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
81,81.0 to 81.0,1,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",5,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
82,82.625 to 82.625,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10
83,83.0 to 83.75,3,"[0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
84,84.0 to 84.91666667,4,"[1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
85,85.0 to 85.875,3,"[0, 0, 1, 0, 0, 1, 1, 2, 0, 1, 0, 0]",1,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
86,86.0 to 86.66666667,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
87,87.0 to 87.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
88,88.0 to 88.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
89,89.0 to 89.875,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
90,90.0 to 90.66666667,2,"[0, 0, 2, 0, 0, 2, 0, 0, 0, 1, 0, 0]",4,fMinor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4
91,91.0 to 91.66666667,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5
92,92.0 to 92.66666667,5,"[0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
93,93.0 to 93.75,19,"[1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]",4,fMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1
94,94.0 to 94.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
95,95.0 to 95.875,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
96,96.0 to 96.66666667,2,"[0, 0, 2, 0, 1, 2, 0, 0, 0, 1, 0, 0]",4,fMinor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4
97,97.0 to 97.66666667,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5
98,98.0 to 98.66666667,5,"[0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
99,99.0 to 99.91666667,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
100,100.0 to 100.75,8,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",7,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2
101,101.0 to 101.6666667,2,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",6,fMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4
102,102.0 to 102.75,11,"[1, 1, 1, 0, 1, 0, 0, 2, 0, 0, 1, 1]",1,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,iv_ofDmin,GBb-C#D,yellow,0
103,103.0 to 103.6666667,5,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
104,104.0 to 104.6666667,10,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6
105,105.0 to 105.9166667,15,"[3, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]",7,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj1-4tet,C-DEF,blue,3
106,106.0 to 106.75,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 2, 0]",5,cMinor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14
107,107.0 to 107.9166667,10,"[0, 0, 0, 0, 2, 2, 0, 3, 0, 0, 1, 0]",1,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6
108,108.0 to 108.9166667,19,"[0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0]",4,fMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1
109,109.0 to 109.75,10,"[0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6
110,110.0 to 110.75,0,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
