index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
433,438.0 to 438.5,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7,4
434,439.0 to 439.5,2,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]",b-Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,4
435,440.0 to 440.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17,4
436,441.0 to 441.75,10,"[0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6,4
437,442.0 to 442.75,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,4
438,443.0 to 443.75,16,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,4
439,444.0 to 444.75,17,"[1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5,4
440,445.0 to 445.75,2,"[0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,4
441,446.0 to 446.875,8,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,4
442,447.0 to 447.5,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7,4
443,448.0 to 448.5,2,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]",b-Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,4
444,449.0 to 449.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17,4
445,450.0 to 450.75,8,"[3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,4
446,451.0 to 451.6666667,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,4
447,452.0 to 452.75,3,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9,4
448,453.0 to 453.75,8,"[3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,4
209,223.125 to 223.75,13,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",fMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,Cmaj5-1tet,BC-AG,darkviolet,12,4
210,224.0 to 224.625,5,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,Gmaj3rd5th,BD-G,gold,17,4
211,225.0 to 225.625,9,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,6-1ofC,A-CF,deepskyblue,7,4
212,226.0 to 226.625,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,Gmaj3rd5th,BD-G,gold,17,4
213,227.0 to 227.75,5,"[0, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,Gmaj3rd5th,BD-G,gold,17,4
214,228.0 to 228.6666667,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",cMinor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,AminTriad,ACE,steelblue,14,4
215,229.0 to 229.625,8,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,Cmaj-root,C-EG,slateblue,2,4
216,230.0 to 230.5,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,V7ofG,DF#AC,lime,18,4
217,231.0 to 231.75,9,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1]",dMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,6-1ofC,A-CF,deepskyblue,7,4
218,232.0 to 232.5,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,Gmaj3rd5th,BD-G,gold,17,4
219,233.0 to 233.625,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,VofG,D-F#A,greenyellow,15,4
220,234.0 to 234.625,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",b-Minor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,Gmaj3rd5th,BD-G,gold,17,4
221,235.0 to 235.8333333,4,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,Cmaj3rd5th,EG-C,mediumvioletred,8,4
222,236.0 to 236.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,Gmaj3rd5th,BD-G,gold,17,4
223,237.0 to 237.8333333,18,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",gMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,V-IofC,D-GBC,crimson,11,4
224,238.0 to 238.5,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",dMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,V7ofG,DF#AC,lime,18,4
225,239.0 to 239.5,16,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,chr,FGAB,mediumpurple,10,4
226,240.0 to 240.625,5,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,Gmaj3rd5th,BD-G,gold,17,4
227,241.0 to 241.875,12,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",aMajor,Piano Sonata K311 i D major.mid by Mozart.csv,1777,AminTriad,ACE,steelblue,14,4
