CentroidLabelIndex_entireUnits,filename,counts
15,Piano Sonata K330 iii C major.mid by Mozart.csv,34
15,Piano Sonata K332 i F major.mid by Mozart.csv,16
15,Piano Sonata K332 ii Bb major.mid by Mozart.csv,26
15,Piano Sonata K333 i Bb major.mid by Mozart.csv,29
15,Piano Sonata K372a i Bb major.mid by Mozart.csv,50
15,Piano Sonata K494 ii Bb major.mid by Mozart.csv,17
15,Piano Sonata K545 i C major.mid by Mozart.csv,20
15,Piano Sonata K545 iii C major.mid by Mozart.csv,17
15,Piano Sonata K570 i Bb major.mid by Mozart.csv,10
15,Piano Sonata K570 ii Eb major.mid by Mozart.csv,21
15,Piano Sonata K576 ii A major.mid by Mozart.csv,14
15,Piano Sonata K576 iii D major.mid by Mozart.csv,34
16,Piano Sonata K279 i C major.mid by Mozart.csv,51
16,Piano Sonata K279 ii F major.mid by Mozart.csv,21
16,Piano Sonata K279 iii C major.mid by Mozart.csv,28
16,Piano Sonata K280 i F major.mid by Mozart.csv,27
16,Piano Sonata K282 i Eb major.mid by Mozart.csv,12
16,Piano Sonata K283 i G major.mid by Mozart.csv,17
16,Piano Sonata K284 i D major.mid by Mozart.csv,36
16,Piano Sonata K284 ii A major.mid by Mozart.csv,13
16,Piano Sonata K309 i C major.mid by Mozart.csv,46
16,Piano Sonata K309 ii F major.mid by Mozart.csv,7
16,Piano Sonata K309 iii C major.mid by Mozart.csv,15
16,Piano Sonata K311 i D major.mid by Mozart.csv,79
16,Piano Sonata K311 ii G major.mid by Mozart.csv,31
16,Piano Sonata K330 i C major.mid by Mozart.csv,24
16,Piano Sonata K330 iii C major.mid by Mozart.csv,25
16,Piano Sonata K332 i F major.mid by Mozart.csv,14
16,Piano Sonata K332 ii Bb major.mid by Mozart.csv,6
16,Piano Sonata K333 i Bb major.mid by Mozart.csv,30
16,Piano Sonata K372a i Bb major.mid by Mozart.csv,32
16,Piano Sonata K457 ii Eb major.mid by Mozart.csv,23
16,Piano Sonata K494 ii Bb major.mid by Mozart.csv,14
16,Piano Sonata K545 i C major.mid by Mozart.csv,5
16,Piano Sonata K545 iii C major.mid by Mozart.csv,2
16,Piano Sonata K570 i Bb major.mid by Mozart.csv,24
16,Piano Sonata K570 ii Eb major.mid by Mozart.csv,6
16,Piano Sonata K576 ii A major.mid by Mozart.csv,4
16,Piano Sonata K576 iii D major.mid by Mozart.csv,12
17,Piano Sonata K279 i C major.mid by Mozart.csv,16
17,Piano Sonata K279 ii F major.mid by Mozart.csv,7
17,Piano Sonata K279 iii C major.mid by Mozart.csv,11
17,Piano Sonata K280 i F major.mid by Mozart.csv,26
17,Piano Sonata K282 i Eb major.mid by Mozart.csv,8
17,Piano Sonata K283 i G major.mid by Mozart.csv,16
17,Piano Sonata K284 i D major.mid by Mozart.csv,32
17,Piano Sonata K284 ii A major.mid by Mozart.csv,2
17,Piano Sonata K309 i C major.mid by Mozart.csv,48
17,Piano Sonata K309 ii F major.mid by Mozart.csv,5
17,Piano Sonata K309 iii C major.mid by Mozart.csv,17
17,Piano Sonata K311 i D major.mid by Mozart.csv,155
17,Piano Sonata K311 ii G major.mid by Mozart.csv,28
17,Piano Sonata K330 i C major.mid by Mozart.csv,29
17,Piano Sonata K330 iii C major.mid by Mozart.csv,14
17,Piano Sonata K332 i F major.mid by Mozart.csv,19
17,Piano Sonata K332 ii Bb major.mid by Mozart.csv,4
17,Piano Sonata K333 i Bb major.mid by Mozart.csv,46
17,Piano Sonata K372a i Bb major.mid by Mozart.csv,52
