index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
132,532.0 to 535.5,"[3, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
133,536.0 to 539.625,"[2, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 1]",7,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
134,540.0 to 543.75,"[3, 0, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0]",3,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv
135,544.0 to 547.75,"[3, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0]",6,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
136,548.0 to 551.75,"[3, 0, 2, 0, 0, 1, 0, 0, 0, 2, 0, 0]",3,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv
137,552.0 to 555.75,"[4, 0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0]",8,g#Major,Piano Sonata K284 i D major.mid by Mozart.csv
138,556.0 to 559.75,"[2, 0, 2, 0, 2, 1, 1, 3, 0, 2, 0, 2]",9,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
139,560.0 to 563.875,"[2, 0, 2, 0, 1, 1, 0, 3, 0, 1, 0, 2]",9,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
140,564.0 to 567.75,"[2, 0, 2, 0, 2, 1, 1, 3, 0, 2, 0, 2]",9,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
141,568.0 to 571.875,"[2, 0, 2, 0, 1, 1, 0, 3, 0, 1, 0, 2]",9,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
142,572.0 to 574.0,"[0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 2]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
143,576.0 to 579.5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
144,580.0 to 583.625,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 2]",0,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
145,584.0 to 587.75,"[1, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 1]",5,gMinor,Piano Sonata K284 i D major.mid by Mozart.csv
146,588.0 to 591.75,"[1, 0, 1, 0, 2, 2, 0, 2, 0, 1, 0, 1]",5,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
147,592.0 to 595.75,"[1, 0, 1, 0, 1, 1, 1, 2, 0, 1, 0, 1]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
148,596.0 to 599.5,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv
149,600.0 to 603.75,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv
150,604.0 to 607.625,"[1, 0, 0, 1, 1, 1, 0, 2, 0, 1, 0, 1]",1,gMinor,Piano Sonata K284 i D major.mid by Mozart.csv
151,608.0 to 611.75,"[1, 1, 1, 0, 2, 2, 0, 2, 0, 2, 0, 1]",5,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
152,612.0 to 615.75,"[1, 1, 1, 0, 2, 3, 0, 1, 0, 1, 1, 0]",5,b-Major,Piano Sonata K284 i D major.mid by Mozart.csv
153,616.0 to 619.75,"[1, 0, 0, 1, 1, 0, 2, 3, 0, 1, 1, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
154,620.0 to 623.75,"[1, 0, 0, 0, 1, 1, 0, 1, 2, 3, 0, 1]",5,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv
155,624.0 to 627.875,"[2, 0, 1, 2, 0, 0, 2, 0, 1, 0, 0, 0]",8,g#Major,Piano Sonata K284 i D major.mid by Mozart.csv
156,628.0 to 631.875,"[0, 1, 1, 0, 1, 1, 0, 2, 1, 1, 0, 2]",5,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
